,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,WAS,L,24-6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Away,LAR,L,0-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Home,CHI,L,16-14,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,SEA,L,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Away,SF,W,28-18,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Away,MIN,L,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Home,DEN,L,45-10,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Home,SF,W,15-18,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,KC,L,14-26,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Home,OAK,L,23-21,1,2,6,6,6,0,0,0,0,0,0,0,0
10,2018,12,Away,LAC,L,10-45,1,1,6,6,6,0,0,0,0,0,0,0,0
11,2018,13,Away,GB,W,20-17,1,3,21,21,21,0,0,0,0,0,0,0,0
12,2018,14,Home,DET,L,17-3,5,7,77,15.4,19,0,0,0,0,0,0,0,0
13,2018,15,Away,ATL,L,14-40,3,5,15,5,7,1,0,0,0,0,0,0,0
14,2018,16,Home,LAR,L,31-9,6,6,62,10.3,15,0,0,0,0,0,0,0,0
15,2018,17,Away,SEA,L,24-27,2,4,23,11.5,18,0,0,0,0,0,0,0,0
0,2019,1,Home,DET,T,27-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,BAL,L,17-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,CAR,L,38-20,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,SEA,L,27-10,1,3,15,15,15,0,0,0,0,0,0,0,0
4,2019,5,Away,CIN,W,26-23,1,3,23,23,23,0,0,0,0,0,0,0,0
5,2019,6,Home,ATL,W,33-34,1,1,38,38,38,0,0,0,0,0,0,0,0
6,2019,7,Away,NYG,W,27-21,1,1,4,4,4,0,0,0,0,0,0,0,0
7,2019,8,Away,NO,L,9-31,0,2,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Home,SF,L,28-25,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,10,Away,TB,L,27-30,0,2,0,0,0,0,0,0,0,0,0,0,0
10,2019,11,Away,SF,L,26-36,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,LAR,L,34-7,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,PIT,L,23-17,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,CLE,W,24-38,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,SEA,W,27-13,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,LAR,L,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0
