,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,JAC,W,27-23,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,MIN,L,14-17,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2016,3,Home,DET,W,27-34,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2016,5,Home,NYG,W,16-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,6,Home,DAL,L,30-16,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,7,Home,CHI,W,10-26,0,0,0,0,0,0,0,0,0,0,0,1,0
6,2016,8,Away,ATL,L,32-33,3,4,24,8,9,1,0,0,0,0,0,0,0
7,2016,9,Home,IND,L,31-26,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,10,Away,TEN,L,25-47,0,1,0,0,0,0,0,0,0,0,0,1,1
9,2016,11,Away,WAS,L,24-42,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Away,PHI,W,27-13,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Away,GB,W,13-21,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,GB,W,10-38,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,CHI,W,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,GB,W,25-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2016,17,Away,DET,W,31-24,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2017,1,Home,SEA,W,9-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,ATL,L,23-34,1,1,9,9,9,0,0,0,0,0,0,0,0
2,2017,3,Home,CIN,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,CHI,W,14-35,0,0,0,0,0,0,0,0,0,0,0,0,0
