,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,STL,L,31-34,4,4,34,8.5,12,0,0,0,0,0,0,0,0
1,2015,2,Away,GB,L,17-27,2,2,17,8.5,17,0,0,0,0,0,0,0,0
2,2015,3,Home,CHI,W,0-26,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Home,DET,W,10-13,4,5,58,14.5,23,0,1,1,1,1,0,1,1
4,2015,5,Away,CIN,L,24-27,2,5,29,14.5,22,0,0,0,0,0,0,0,0
5,2015,6,Home,CAR,L,27-23,0,2,0,0,0,0,0,0,0,0,0,0,0
6,2015,7,Away,SF,W,20-3,5,5,79,15.8,43,1,0,0,0,0,0,0,0
7,2015,8,Away,DAL,W,13-12,3,4,36,12,16,0,0,0,0,0,0,0,0
8,2015,10,Home,ARI,L,39-32,1,1,7,7,7,0,0,0,0,0,0,0,0
9,2015,11,Home,SF,W,13-29,4,5,48,12,24,2,1,5,5,5,0,0,0
10,2015,12,Home,PIT,W,30-39,3,3,38,12.7,16,0,0,0,0,0,0,0,0
11,2015,13,Away,MIN,W,38-7,7,7,90,12.9,29,0,1,7,7,7,0,1,0
12,2015,14,Away,BAL,W,35-6,6,7,104,17.3,49,2,0,0,0,0,0,0,0
13,2015,15,Home,CLE,W,13-30,5,7,55,11,27,1,0,0,0,0,0,0,0
14,2015,16,Home,STL,L,23-17,3,7,33,11,16,0,0,0,0,0,0,0,0
15,2015,17,Away,ARI,W,36-6,2,4,36,18,36,0,2,7,3.5,8,0,0,0
0,2016,1,Home,MIA,W,10-12,3,8,17,5.7,6,0,0,0,0,0,0,0,0
1,2016,2,Away,LAR,L,3-9,4,4,99,24.8,53,0,0,0,0,0,0,0,0
2,2016,3,Home,SF,W,18-37,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Away,NYJ,W,27-17,1,3,13,13,13,0,0,0,0,0,0,0,0
4,2016,6,Home,ATL,W,24-26,3,5,23,7.7,10,0,1,2,2,2,0,0,0
5,2016,7,Away,ARI,T,6-6,2,2,13,6.5,8,0,0,0,0,0,0,0,0
6,2016,8,Away,NO,L,20-25,4,4,32,8,10,0,0,0,0,0,0,0,0
7,2016,9,Home,BUF,W,25-31,1,2,17,17,17,0,1,13,13,13,0,0,0
8,2016,10,Away,NE,W,31-24,3,6,72,24,36,0,0,0,0,0,0,0,0
9,2016,11,Home,PHI,W,15-26,2,3,39,19.5,30,0,0,0,0,0,0,0,0
10,2016,12,Away,TB,L,5-14,0,6,0,0,0,0,1,9,9,9,0,0,0
