,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Home,SD,W,27-33,1,1,9,9,9,1,0,0,0,0,0,0,0
1,2016,2,Away,HOU,L,12-19,2,2,8,4,5,0,1,-1,-1,-1,0,0,0
2,2016,3,Home,NYJ,W,3-24,3,4,26,8.7,13,0,1,-3,-3,-3,0,0,0
3,2016,4,Away,PIT,L,14-43,5,7,24,4.8,9,1,1,-2,-2,-2,0,0,0
4,2016,6,Away,OAK,W,26-10,2,2,20,10,12,0,0,0,0,0,0,0,0
5,2016,7,Home,NO,W,21-27,1,1,38,38,38,1,2,23,11.5,18,0,0,0
6,2016,8,Away,IND,W,30-14,5,6,98,19.6,49,1,1,7,7,7,0,0,0
7,2016,9,Home,JAC,W,14-19,3,5,11,3.7,5,0,2,21,10.5,16,0,0,0
8,2016,10,Away,CAR,W,20-17,10,13,89,8.9,27,0,1,12,12,12,0,2,0
9,2016,11,Home,TB,L,19-17,4,5,53,13.3,42,0,1,8,8,8,0,0,0
10,2016,12,Away,DEN,W,30-27,9,10,52,5.8,11,1,1,3,3,3,1,0,0
11,2016,13,Away,ATL,W,29-28,5,6,53,10.6,25,0,2,19,9.5,13,0,0,0
12,2016,14,Home,OAK,W,13-21,6,6,66,11,36,1,1,2,2,2,0,1,1
13,2016,15,Home,TEN,L,19-17,0,3,0,0,0,0,1,68,68,68,1,1,0
14,2016,16,Home,DEN,W,10-33,0,5,0,0,0,0,6,95,15.8,70,1,0,0
15,2016,17,Away,SD,W,37-27,5,7,46,9.2,20,0,3,15,5,20,0,0,0
0,2017,1,Away,NE,W,42-27,7,8,133,19,75,1,2,5,2.5,4,0,1,0
1,2017,2,Home,PHI,W,20-27,4,6,43,10.8,18,0,1,6,6,6,0,0,0
2,2017,3,Away,LAC,W,24-10,5,8,77,15.4,30,1,3,13,4.3,9,0,0,0
3,2017,4,Home,WAS,W,20-29,5,6,35,7,12,0,0,0,0,0,0,1,0
4,2017,5,Away,HOU,W,42-34,4,6,68,17,38,0,0,0,0,0,0,0,0
5,2017,6,Home,PIT,L,19-13,5,7,34,6.8,10,0,1,-9,-9,-9,0,0,0
