,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,DEN,L,21-24,5,7,54,10.8,14,0,0,0,0,0,0,0,0
1,2017,2,Home,MIA,L,19-17,4,4,54,13.5,23,0,0,0,0,0,0,0,0
2,2017,3,Home,KC,L,24-10,2,7,15,7.5,14,0,0,0,0,0,0,0,0
3,2017,4,Home,PHI,L,26-24,5,6,115,23,75,1,0,0,0,0,0,0,0
4,2017,5,Away,NYG,W,27-22,1,2,22,22,22,0,0,0,0,0,0,0,0
5,2017,6,Away,OAK,W,17-16,3,3,27,9,14,0,0,0,0,0,0,1,1
6,2017,7,Home,DEN,W,0-21,1,1,11,11,11,0,0,0,0,0,0,0,0
7,2017,8,Away,NE,L,13-21,1,6,24,24,24,0,0,0,0,0,0,0,0
8,2017,10,Away,JAC,L,17-20,2,5,49,24.5,30,0,0,0,0,0,0,0,0
9,2017,11,Home,BUF,W,24-54,1,1,11,11,11,0,0,0,0,0,0,0,0
10,2017,12,Away,DAL,W,28-6,2,3,58,29,31,1,0,0,0,0,0,0,0
11,2017,13,Home,CLE,W,10-19,1,3,8,8,8,0,0,0,0,0,0,0,0
12,2017,14,Home,WAS,W,13-30,4,4,132,33,75,1,0,0,0,0,0,0,0
13,2017,15,Away,KC,L,13-30,3,7,31,10.3,18,0,0,0,0,0,0,0,0
14,2017,16,Away,NYJ,W,14-7,5,6,50,10,16,0,0,0,0,0,0,0,0
15,2017,17,Home,OAK,W,10-30,3,4,67,22.3,56,1,0,0,0,0,0,0,0
0,2018,1,Home,KC,L,38-28,2,5,8,4,4,1,0,0,0,0,0,0,0
1,2018,2,Away,BUF,W,31-20,3,3,48,16,22,0,0,0,0,0,0,1,0
2,2018,3,Away,LAR,L,23-35,2,3,22,11,13,0,1,14,14,14,0,0,0
3,2018,4,Home,SF,W,27-29,3,5,48,16,24,0,0,0,0,0,0,0,0
4,2018,5,Home,OAK,W,10-26,3,3,66,22,48,0,0,0,0,0,0,0,0
5,2018,6,Away,CLE,W,38-14,3,4,118,39.3,45,2,1,1,1,1,0,0,0
6,2018,7,Home,TEN,W,19-20,4,4,118,29.5,75,1,0,0,0,0,0,0,0
7,2018,9,Away,SEA,W,25-17,2,3,23,11.5,12,1,0,0,0,0,0,0,0
8,2018,10,Away,OAK,W,20-6,4,6,46,11.5,31,0,0,0,0,0,0,0,0
9,2018,11,Home,DEN,L,23-22,2,6,22,11,19,0,0,0,0,0,0,0,0
10,2018,12,Home,ARI,W,10-45,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,PIT,W,33-30,1,2,14,14,14,0,0,0,0,0,0,0,0
12,2018,14,Home,CIN,W,21-26,3,3,14,4.7,7,0,0,0,0,0,0,0,0
13,2018,15,Away,KC,W,29-28,6,12,71,11.8,26,0,0,0,0,0,0,1,0
14,2018,16,Home,BAL,L,22-10,1,2,12,12,12,0,0,0,0,0,0,0,0
15,2018,17,Away,DEN,W,23-9,2,3,23,11.5,17,0,0,0,0,0,0,0,0
0,2019,1,Home,DEN,W,16-24,6,7,105,17.5,43,1,0,0,0,0,0,0,0
1,2019,2,Home,KC,L,28-10,5,7,46,9.2,19,1,0,0,0,0,0,0,0
2,2019,3,Away,MIN,L,14-34,3,3,29,9.7,15,1,0,0,0,0,0,0,0
3,2019,4,Away,IND,W,31-24,3,7,36,12,19,1,0,0,0,0,0,0,0
4,2019,5,Away,OAK,W,21-24,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Away,GB,L,24-42,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Away,HOU,L,24-27,3,6,91,30.3,46,1,0,0,0,0,0,0,0
7,2019,9,Home,DET,W,24-31,3,4,48,16,22,0,0,0,0,0,0,0,0
8,2019,10,Home,LAC,W,24-26,3,5,25,8.3,12,0,0,0,0,0,0,0,0
9,2019,11,Home,CIN,W,10-17,4,4,82,20.5,24,0,0,0,0,0,0,0,0
10,2019,12,Away,NYJ,L,3-34,2,6,18,9,12,0,0,0,0,0,0,0,0
11,2019,13,Away,KC,L,9-40,1,4,9,9,9,0,0,0,0,0,0,0,0
12,2019,14,Home,TEN,L,42-21,3,4,35,11.7,18,0,0,0,0,0,0,0,0
13,2019,15,Home,JAC,L,20-16,2,3,45,22.5,40,1,0,0,0,0,0,0,0
14,2019,16,Away,LAC,W,24-17,4,4,82,20.5,43,0,0,0,0,0,0,0,0
15,2019,17,Away,DEN,L,15-16,0,0,0,0,0,0,0,0,0,0,0,0,0
